,,P38,P39,P40,P41,P42,P43,P44,P45,P46,Baro,T1,T2,T3
,,[V],[PSI],[PSI],[PSI],[PSI],[PSI],[PSI],[PSI],[PSI],[in.hga],[°C],[°C],[°C]
5/30/2018,11:46:40 AM,1.499,0.216,20.140,0.394,0.237,-0.133,0.030,-0.804,-0.447,28.715,29.296,29.370,28.411
5/30/2018,6:10:00 PM,-0.044,-0.327,-0.135,0.394,0.240,-0.134,0.024,-0.803,-0.443,28.675,30.358,30.422,29.525
5/30/2018,6:26:40 PM,-0.055,-0.329,-0.152,0.387,0.230,-0.134,0.028,-0.800,0.114,28.667,30.429,30.470,29.753
5/30/2018,6:43:20 PM,-0.055,-0.334,31.845,31.274,33.718,30.762,30.622,30.205,30.482,28.675,30.824,30.856,30.742
5/30/2018,7:00:00 PM,-0.057,-0.334,29.984,29.849,30.170,30.112,29.775,30.083,29.933,28.670,31.299,31.354,31.289
5/30/2018,7:16:40 PM,-0.047,-0.335,29.847,29.726,30.044,30.050,29.591,30.015,29.910,28.662,31.053,31.072,30.996
5/30/2018,7:33:20 PM,-0.048,-0.331,29.736,29.655,29.952,29.992,29.431,29.965,29.864,28.660,30.756,30.774,30.602
5/30/2018,7:50:00 PM,-0.057,-0.333,29.651,29.587,29.893,29.950,29.294,29.929,29.827,28.652,30.762,30.865,30.623
5/30/2018,8:06:40 PM,-0.049,-0.334,29.544,29.511,29.840,29.899,29.167,29.878,29.811,28.646,30.646,30.656,30.505
5/30/2018,8:23:20 PM,-0.058,-0.329,29.452,29.443,29.732,29.894,29.000,29.852,29.789,28.625,30.647,30.736,30.638
5/30/2018,8:40:00 PM,-0.055,-0.329,29.358,29.371,29.653,29.819,28.861,29.826,29.772,28.624,30.694,30.743,30.573
5/30/2018,8:56:40 PM,-0.052,-0.329,29.282,29.286,29.577,29.824,28.720,29.797,29.742,28.621,30.660,30.725,30.600
5/30/2018,9:13:20 PM,-0.057,-0.328,29.186,29.265,29.514,29.787,28.579,29.759,29.736,28.619,30.570,30.601,30.451
5/30/2018,9:30:00 PM,-0.053,-0.331,29.103,29.188,29.435,29.742,28.456,29.724,29.707,28.615,30.526,30.592,30.508
5/30/2018,9:46:40 PM,-0.055,-0.334,29.010,29.123,29.355,29.723,28.322,29.708,29.682,28.618,30.503,30.564,30.401
5/30/2018,10:03:20 PM,-0.061,-0.329,28.931,29.093,29.287,29.694,28.161,29.684,29.671,28.609,30.583,30.678,30.588
5/30/2018,10:20:00 PM,-0.050,-0.332,28.836,29.029,29.216,29.675,28.030,29.636,29.642,28.605,30.533,30.563,30.398
5/30/2018,10:36:40 PM,-0.059,-0.332,28.749,28.934,29.152,29.642,27.896,29.634,29.637,28.602,30.608,30.688,30.519
5/30/2018,10:53:20 PM,-0.055,-0.330,28.657,28.904,29.077,29.620,27.731,29.588,29.636,28.599,30.492,30.601,30.417
5/30/2018,11:10:00 PM,-0.056,-0.328,28.588,28.853,29.006,29.556,27.607,29.571,29.594,28.601,30.479,30.562,30.376
5/30/2018,11:26:40 PM,-0.057,-0.327,28.507,28.776,28.932,29.549,27.488,29.544,29.597,28.609,30.475,30.585,30.397
5/30/2018,11:43:20 PM,-0.050,-0.329,28.407,28.757,28.862,29.499,27.364,29.511,29.535,28.610,30.502,30.589,30.391
5/31/2018,12:00:00 AM,-0.052,-0.334,28.333,28.706,28.786,29.483,27.200,29.467,29.527,28.604,30.393,30.467,30.303
5/31/2018,12:16:40 AM,-0.049,-0.333,28.250,28.623,28.722,29.448,27.067,29.452,29.528,28.590,30.488,30.555,30.397
5/31/2018,12:33:20 AM,-0.045,-0.335,28.138,28.544,28.627,29.423,26.951,29.400,29.481,28.584,30.472,30.515,30.364
5/31/2018,12:50:00 AM,-0.052,-0.332,28.068,28.496,28.557,29.371,26.828,29.384,29.480,28.586,30.301,30.337,30.168
5/31/2018,1:06:40 AM,-0.053,-0.331,27.976,28.465,28.467,29.352,26.680,29.355,29.449,28.607,30.236,30.262,30.152
5/31/2018,1:23:20 AM,-0.046,-0.332,27.893,28.392,28.397,29.289,26.542,29.329,29.394,28.614,30.307,30.368,30.252
5/31/2018,1:40:00 AM,-0.050,-0.331,27.761,28.332,28.303,29.270,26.402,29.268,29.348,28.621,30.033,30.135,29.911
5/31/2018,1:56:40 AM,-0.052,-0.327,27.685,28.291,28.222,29.201,26.249,29.244,29.345,28.607,29.970,30.009,29.974
5/31/2018,2:13:20 AM,-0.054,-0.329,27.625,28.243,28.149,29.167,26.141,29.211,29.303,28.607,29.804,29.850,29.701
5/31/2018,2:30:00 AM,-0.051,-0.327,27.521,28.179,28.074,29.145,26.007,29.179,29.264,28.609,29.719,29.797,29.642
5/31/2018,2:46:40 AM,-0.047,-0.330,27.396,28.123,27.990,29.091,25.884,29.140,29.249,28.610,29.629,29.709,29.551
5/31/2018,3:03:20 AM,-0.050,-0.334,27.319,28.057,27.932,29.062,25.727,29.103,29.214,28.598,29.509,29.567,29.436
5/31/2018,3:20:00 AM,-0.058,-0.330,27.262,28.008,27.837,29.038,25.594,29.077,29.180,28.600,29.347,29.383,29.059
5/31/2018,3:36:40 AM,-0.050,-0.329,27.166,28.009,27.749,28.981,25.486,29.063,29.148,28.605,29.331,29.409,29.245
5/31/2018,3:53:20 AM,-0.051,-0.323,27.079,27.947,27.690,28.964,25.341,29.034,29.118,28.607,29.111,29.207,28.952
5/31/2018,4:10:00 AM,-0.050,-0.325,27.003,27.914,27.621,28.925,25.217,28.994,29.113,28.605,29.088,29.184,28.936
5/31/2018,4:26:40 AM,-0.054,-0.325,26.892,27.856,27.532,28.897,25.108,28.994,29.100,28.604,29.063,29.142,28.972
5/31/2018,4:43:20 AM,-0.048,-0.328,26.827,27.812,27.467,28.839,24.999,28.951,28.971,28.593,28.881,28.946,28.660
5/31/2018,5:00:00 AM,-0.049,-0.324,26.786,27.785,27.425,28.818,24.891,28.919,28.908,28.589,28.857,28.961,28.553
5/31/2018,5:16:40 AM,-0.049,-0.324,26.716,27.758,27.348,28.829,24.785,28.964,28.843,28.593,28.972,29.068,28.757
5/31/2018,5:33:20 AM,-0.055,-0.326,26.654,27.733,27.303,28.798,24.688,28.966,28.791,28.586,28.955,29.063,28.640
5/31/2018,5:50:00 AM,-0.049,-0.328,26.613,27.691,27.267,28.813,24.643,28.953,28.708,28.583,28.941,29.012,28.671
