,,P23,P24,P33,P34,P35,P36,Baro,T1,T2,T3
,,6,5,1,2,3,4,,,,
,,[V],[V],[V],[V],[V],[V],[in.hga],[°C],[°C],[°C]
6/22/2018,7:30:00 PM,29.916,30.089,30.154,30.062,30.289,30.103,28.594,32.017,32.042,31.988
6/22/2018,7:46:40 PM,29.827,29.965,29.994,29.743,30.266,30.06,28.589,31.233,31.286,31.122
6/22/2018,8:03:20 PM,29.777,29.872,29.848,29.487,30.221,30.001,28.575,30.872,30.931,30.618
6/22/2018,8:20:00 PM,29.747,29.804,29.711,29.204,30.195,29.965,28.58,30.926,30.999,30.637
6/22/2018,8:36:40 PM,29.674,29.757,29.514,28.923,30.157,29.909,28.589,30.553,30.635,30.241
6/22/2018,8:53:20 PM,29.66,29.757,29.405,28.735,30.128,29.845,28.58,30.692,30.785,30.368
6/22/2018,9:10:00 PM,29.66,29.712,29.309,28.512,30.121,29.831,28.58,30.583,30.661,30.283
6/22/2018,9:26:40 PM,29.611,29.688,29.152,28.274,30.073,29.789,28.577,30.44,30.497,30.141
6/22/2018,9:43:20 PM,29.569,29.653,29.031,28.043,30.059,29.748,28.582,30.356,30.422,30.029
6/22/2018,10:00:00 PM,29.51,29.646,28.886,27.81,30.011,29.711,28.591,30.385,30.487,30.109
6/22/2018,10:16:40 PM,29.52,29.598,28.765,27.601,30.008,29.698,28.593,30.281,30.323,30.012
6/22/2018,10:33:20 PM,29.491,29.572,28.664,27.423,29.977,29.643,28.585,30.388,30.431,30.021
6/22/2018,10:50:00 PM,29.493,29.57,28.531,27.193,29.974,29.616,28.58,30.358,30.422,30.046
6/22/2018,11:06:40 PM,29.423,29.541,28.41,26.974,29.961,29.586,28.579,30.404,30.466,30.128
6/22/2018,11:23:20 PM,29.39,29.508,28.313,26.753,29.947,29.55,28.573,30.268,30.311,29.971
6/22/2018,11:40:00 PM,29.362,29.47,28.166,26.527,29.885,29.486,28.547,30,30.062,29.755
6/22/2018,11:56:40 PM,29.346,29.437,28.023,26.319,29.875,29.455,28.553,30.461,30.582,30.073
6/23/2018,12:13:20 AM,29.343,29.468,27.931,26.144,29.878,29.456,28.557,31.159,31.263,30.797
6/23/2018,12:30:00 AM,29.362,29.507,27.873,25.985,29.887,29.466,28.559,31.632,31.73,31.336
6/23/2018,12:46:40 AM,29.351,29.519,27.796,25.798,29.912,29.465,28.557,31.87,31.928,31.572
6/23/2018,1:03:20 AM,29.356,29.525,27.72,25.63,29.917,29.44,28.566,31.896,31.951,31.629
6/23/2018,1:20:00 AM,29.364,29.541,27.624,25.471,29.921,29.444,28.566,32.309,32.37,32.073
6/23/2018,1:36:40 AM,29.389,29.531,27.534,25.298,29.948,29.429,28.565,32.532,32.576,32.318
6/23/2018,1:53:20 AM,29.346,29.543,27.451,25.157,29.94,29.397,28.585,32.653,32.692,32.463
6/23/2018,2:10:00 AM,29.33,29.528,27.345,24.949,29.931,29.393,28.585,32.388,32.398,32.171
6/23/2018,2:26:40 AM,29.335,29.551,27.223,24.823,29.938,29.376,28.583,32.435,32.466,32.245
6/23/2018,2:43:20 AM,29.323,29.523,27.154,24.649,29.92,29.352,28.575,32.457,32.492,32.283
6/23/2018,3:00:00 AM,29.291,29.506,27.062,24.461,29.945,29.332,28.577,32.693,32.732,32.512
6/23/2018,3:16:40 AM,29.294,29.503,26.946,24.332,29.925,29.338,28.572,32.777,32.785,32.564
6/23/2018,3:33:20 AM,29.275,29.49,26.871,24.173,29.926,29.291,28.559,32.94,32.965,32.736
6/23/2018,3:50:00 AM,29.284,29.485,26.76,23.999,29.908,29.258,28.559,33.017,33.033,32.822
6/23/2018,4:06:40 AM,29.247,29.47,26.655,23.868,29.882,29.258,28.563,32.994,33.011,32.813
6/23/2018,4:23:20 AM,29.234,29.441,26.582,23.705,29.87,29.235,28.57,33.079,33.087,32.874
6/23/2018,4:40:00 AM,29.2,29.467,26.493,23.558,29.874,29.205,28.576,33.234,33.238,33.027
6/23/2018,4:56:40 AM,29.203,29.436,26.4,23.379,29.872,29.205,28.578,33.288,33.305,33.091
6/23/2018,5:13:20 AM,29.193,29.421,26.274,23.259,29.881,29.17,28.573,33.282,33.304,33.086
6/23/2018,5:30:00 AM,29.178,29.42,26.205,23.105,29.862,29.13,28.574,33.227,33.237,32.995
6/23/2018,5:46:40 AM,29.155,29.398,26.097,22.959,29.859,29.127,28.573,33.336,33.354,33.15
6/23/2018,6:03:20 AM,29.131,29.374,25.987,22.826,29.838,29.09,28.571,33.473,33.492,33.296
6/23/2018,6:20:00 AM,29.12,29.35,25.936,22.658,29.821,29.074,28.563,33.381,33.394,33.189
6/23/2018,6:36:40 AM,29.085,29.343,25.794,22.512,29.819,29.042,28.569,33.311,33.334,33.127
6/23/2018,6:53:20 AM,29.058,29.331,25.694,22.391,29.787,29.02,28.568,33.406,33.408,33.198
6/23/2018,7:10:00 AM,29.06,29.293,25.631,22.23,29.798,28.967,28.568,33.293,33.289,33.085
6/23/2018,7:26:40 AM,29.06,29.3,25.515,22.089,29.752,28.987,28.563,33.275,33.275,33.073
6/23/2018,7:43:20 AM,29.049,29.313,25.446,21.934,29.759,28.951,28.563,33.4,33.418,33.188
6/23/2018,8:00:00 AM,28.996,29.272,25.353,21.794,29.774,28.919,28.562,33.28,33.279,33.058
6/23/2018,8:16:40 AM,28.984,29.264,25.22,21.671,29.735,28.915,28.562,33.357,33.372,33.157
6/23/2018,8:33:20 AM,28.987,29.25,25.174,21.52,29.728,28.876,28.556,33.27,33.278,33.079
6/23/2018,8:50:00 AM,28.981,29.23,25.074,21.421,29.721,28.869,28.549,33.244,33.251,33.027
6/23/2018,9:06:40 AM,28.941,29.227,24.978,21.259,29.737,28.831,28.547,33.3,33.309,33.087
6/23/2018,9:23:20 AM,28.926,29.2,24.89,21.103,29.702,28.811,28.549,33.311,33.322,33.115
6/23/2018,9:40:00 AM,28.902,29.204,24.802,21,29.685,28.786,28.551,33.266,33.276,33.043
6/23/2018,9:56:40 AM,28.855,29.166,24.719,20.85,29.677,28.744,28.554,33.338,33.349,33.137
6/23/2018,10:13:20 AM,28.838,29.121,24.591,20.707,29.66,28.721,28.559,33.303,33.337,33.408
6/23/2018,10:30:00 AM,28.787,29.034,24.467,20.532,29.579,28.644,28.548,32.139,32.149,31.994
6/23/2018,10:46:40 AM,28.72,28.954,24.323,20.371,29.526,28.581,28.554,31.553,31.55,31.242
