,,P40,P41,P42,P43,P44,P45,P46,Baro,T1,T2,T3
,,1,2,3,4,5,6,7,,,,
,,[PSI],[PSI],[PSI],[PSI],[PSI],[PSI],[PSI],[in.hga],[°C],[°C],[°C]
6/13/2018,7:06:40 PM,29.064,29.761,29.107,29.761,29.747,29.425,29.732,28.666,30.805,30.909,30.755
6/13/2018,7:23:20 PM,26.047,29.572,27.702,29.335,29.5,28.598,29.324,28.664,30.32,30.393,30.132
6/13/2018,7:40:00 PM,23.891,29.429,26.441,29.083,29.295,27.814,28.959,28.663,30.27,30.387,30.198
6/13/2018,7:56:40 PM,22.012,29.315,25.312,28.912,29.056,27.053,28.604,28.657,30.103,30.245,29.969
6/13/2018,8:13:20 PM,20.522,29.145,24.653,28.78,28.792,26.346,28.305,28.658,30.16,30.233,29.977
6/13/2018,8:30:00 PM,19.284,29.055,24.01,28.707,28.584,25.667,28.028,28.655,30.117,30.196,29.944
6/13/2018,8:46:40 PM,18.193,28.911,23.354,28.623,28.35,25.044,27.797,28.654,30.197,30.292,30.037
6/13/2018,9:03:20 PM,17.281,28.807,22.767,28.54,28.182,24.432,27.58,28.656,30.116,30.209,30.025
6/13/2018,9:20:00 PM,16.476,28.67,22.205,28.468,27.952,23.812,27.374,28.66,30.201,30.286,29.991
6/13/2018,9:36:40 PM,15.781,28.557,21.639,28.405,27.768,23.206,27.214,28.664,30.142,30.273,29.953
6/13/2018,9:53:20 PM,15.196,28.412,21.096,28.356,27.586,22.689,27.072,28.67,30.151,30.257,30.027
6/13/2018,10:10:00 PM,14.645,28.316,20.564,28.287,27.347,22.113,26.888,28.664,30.059,30.132,29.948
6/13/2018,10:26:40 PM,14.189,28.197,20.074,28.233,27.158,21.61,26.706,28.66,30.259,30.331,30.08
6/13/2018,10:43:20 PM,13.777,28.054,19.584,28.171,26.952,21.099,26.524,28.665,29.967,30.065,29.74
6/13/2018,11:00:00 PM,13.388,27.944,19.099,28.113,26.728,20.587,26.342,28.667,30.089,30.196,29.974
6/13/2018,11:16:40 PM,13.062,27.822,18.629,28.054,26.547,20.131,26.127,28.666,30.075,30.147,29.883
6/13/2018,11:33:20 PM,12.73,27.671,18.182,27.986,26.379,19.659,25.921,28.672,29.96,30.067,29.77
6/13/2018,11:50:00 PM,12.415,27.566,17.713,27.925,26.141,19.189,25.735,28.675,29.97,30.04,29.749
6/14/2018,12:06:40 AM,12.148,27.469,17.286,27.873,25.979,18.747,25.547,28.685,29.975,30.027,29.809
6/14/2018,12:23:20 AM,11.874,27.301,16.853,27.78,25.776,18.315,25.305,28.693,30.082,30.124,29.932
6/14/2018,12:40:00 AM,11.595,27.213,16.432,27.723,25.577,17.9,25.138,28.701,29.852,29.902,29.636
6/14/2018,12:56:40 AM,11.318,27.064,16.02,27.678,25.431,17.485,24.961,28.698,29.744,29.816,29.562
6/14/2018,1:13:20 AM,11.075,26.972,15.608,27.603,25.217,17.104,24.743,28.694,29.689,29.739,29.35
6/14/2018,1:30:00 AM,10.86,26.866,15.259,27.574,25.079,16.745,24.59,28.711,29.746,29.845,29.403
6/14/2018,1:46:40 AM,10.648,26.767,14.895,27.561,24.921,16.409,24.426,28.723,29.895,29.994,29.564
6/14/2018,2:03:20 AM,10.425,26.685,14.554,27.507,24.765,16.026,24.251,28.724,29.975,30.042,29.726
6/14/2018,2:20:00 AM,10.208,26.581,14.213,27.462,24.609,15.692,24.11,28.728,30.06,30.071,29.755
6/14/2018,2:36:40 AM,10.023,26.467,13.878,27.425,24.498,15.379,23.933,28.742,30.093,30.14,29.827
6/14/2018,2:53:20 AM,9.853,26.349,13.537,27.391,24.322,15.053,23.73,28.754,30.203,30.248,29.985
6/14/2018,3:10:00 AM,9.669,26.243,13.224,27.337,24.172,14.763,23.585,28.764,30.199,30.248,29.936
6/14/2018,3:26:40 AM,9.519,26.138,12.896,27.299,24.015,14.429,23.458,28.764,30.162,30.193,29.864
6/14/2018,3:43:20 AM,9.329,26.023,12.582,27.224,23.84,14.142,23.275,28.773,30.164,30.256,29.913
6/14/2018,4:00:00 AM,9.168,25.938,12.279,27.189,23.707,13.855,23.133,28.783,30.047,30.094,29.752
6/14/2018,4:16:40 AM,9.021,25.811,11.982,27.119,23.524,13.584,22.937,28.786,30.028,30.11,29.73
