,,P38,P39,P40,P41,P42,P43,P44,P45,P46,Baro,T1,T2,T3
,,3,5,11,13,12,14,15,16,17,,,,
,,[PSI],[PSI],[PSI],[PSI],[PSI],[PSI],[PSI],[PSI],[PSI],[in.hga],[°C],[°C],[°C]
6/20/2018,6:53:20 PM,30.167,30.061,30.141,30.248,30.181,30.172,30.103,30.164,30.068,28.639,31.11,31.168,31.147
6/20/2018,7:10:00 PM,30.049,29.963,29.944,30.185,29.926,30.044,29.802,29.982,29.822,28.633,31.369,31.464,31.48
6/20/2018,7:26:40 PM,29.987,29.897,29.715,30.164,29.706,29.966,29.494,29.832,29.59,28.628,31.211,31.365,31.268
6/20/2018,7:43:20 PM,29.899,29.806,29.513,30.013,29.47,29.858,29.197,29.679,29.353,28.633,31.199,31.261,31.163
6/20/2018,8:00:00 PM,29.873,29.754,29.326,29.922,29.256,29.787,28.947,29.479,29.165,28.627,30.586,30.643,30.438
6/20/2018,8:16:40 PM,29.843,29.719,29.153,29.802,29.058,29.692,28.663,29.356,28.958,28.618,30.346,30.466,30.157
6/20/2018,8:33:20 PM,29.812,29.675,28.957,29.727,28.871,29.612,28.381,29.209,28.78,28.613,30.325,30.422,30.155
6/20/2018,8:50:00 PM,29.799,29.567,28.783,29.636,28.643,29.565,28.156,29.057,28.596,28.607,30.211,30.365,30.045
6/20/2018,9:06:40 PM,29.774,29.545,28.626,29.539,28.483,29.462,27.908,28.92,28.418,28.61,30.225,30.355,30.017
6/20/2018,9:23:20 PM,29.733,29.494,28.444,29.424,28.295,29.426,27.648,28.776,28.28,28.609,30.21,30.325,30.176
6/20/2018,9:40:00 PM,29.684,29.454,28.259,29.329,28.098,29.312,27.417,28.658,28.119,28.598,30.149,30.282,30.087
6/20/2018,9:56:40 PM,29.664,29.38,28.096,29.238,27.921,29.24,27.158,28.506,27.955,28.59,30.264,30.373,30.162
6/20/2018,10:13:20 PM,29.644,29.317,27.926,29.153,27.735,29.185,26.937,28.372,27.843,28.588,30.057,30.176,29.928
6/20/2018,10:30:00 PM,29.634,29.292,27.777,29.058,27.574,29.126,26.683,28.246,27.693,28.59,30.013,30.099,29.95
6/20/2018,10:46:40 PM,29.557,29.214,27.61,28.975,27.368,29.042,26.438,28.124,27.577,28.595,29.994,30.075,29.86
6/20/2018,11:03:20 PM,29.552,29.162,27.445,28.876,27.197,28.983,26.221,27.985,27.47,28.598,29.842,29.948,29.705
6/20/2018,11:20:00 PM,29.526,29.098,27.263,28.753,27.03,28.902,26.011,27.849,27.382,28.595,29.916,29.955,29.747
6/20/2018,11:36:40 PM,29.483,29.06,27.129,28.696,26.847,28.817,25.758,27.725,27.258,28.59,29.871,29.926,29.682
6/20/2018,11:53:20 PM,29.464,29.021,26.994,28.597,26.675,28.747,25.539,27.596,27.156,28.593,29.839,29.894,29.574
6/21/2018,12:10:00 AM,29.442,28.953,26.815,28.473,26.494,28.682,25.309,27.482,27.059,28.599,29.739,29.837,29.628
6/21/2018,12:26:40 AM,29.401,28.876,26.697,28.39,26.337,28.615,25.079,27.349,26.999,28.603,29.725,29.771,29.499
6/21/2018,12:43:20 AM,29.387,28.854,26.543,28.307,26.165,28.537,24.864,27.222,26.903,28.606,29.616,29.699,29.428
6/21/2018,1:00:00 AM,29.428,28.808,26.41,28.231,26.024,28.499,24.696,27.148,26.836,28.608,29.662,29.754,29.346
