,,P41,P42,P43,P44,P45,P46,Baro,T1,T2,T3
,,1,2,3,4,5,6,,,,
,,[PSI],[PSI],[PSI],[PSI],[PSI],[PSI],[in.hga],[°C],[°C],[°C]
6/6/2018,6:46:40 PM,25.13,25.024,25.21,25.006,25.054,25.085,28.784,30.61,30.7,30.554
6/6/2018,7:03:20 PM,25.081,24.788,25.174,24.999,24.981,24.954,28.781,30.516,30.538,30.414
6/6/2018,7:20:00 PM,25.024,24.629,25.123,24.974,24.882,24.87,28.776,30.455,30.512,30.38
6/6/2018,7:36:40 PM,25.006,24.457,25.105,24.958,24.763,24.747,28.777,29.922,29.957,29.724
6/6/2018,7:53:20 PM,24.962,24.28,25.042,24.922,24.71,24.689,28.779,30.19,30.227,29.954
6/6/2018,8:10:00 PM,24.94,24.143,25.025,24.886,24.625,24.589,28.783,29.778,29.77,29.535
6/6/2018,8:26:40 PM,24.91,23.961,24.991,24.876,24.571,24.48,28.786,29.561,29.597,29.325
6/6/2018,8:43:20 PM,24.884,23.827,24.959,24.808,24.466,24.371,28.788,29.323,29.369,29.029
6/6/2018,9:00:00 PM,24.857,23.683,24.949,24.81,24.394,24.292,28.789,29.427,29.439,29.144
6/6/2018,9:16:40 PM,24.811,23.547,24.899,24.771,24.299,24.204,28.791,29.354,29.39,29.098
6/6/2018,9:33:20 PM,24.821,23.404,24.897,24.752,24.241,24.126,28.786,29.686,29.685,29.47
6/6/2018,9:50:00 PM,24.796,23.268,24.855,24.719,24.154,24.022,28.787,29.456,29.552,29.287
6/6/2018,10:06:40 PM,24.794,23.127,24.839,24.702,24.101,23.935,28.782,30.071,30.109,29.859
6/6/2018,10:23:20 PM,24.771,22.982,24.823,24.666,24.054,23.819,28.784,29.983,30.036,29.806
6/6/2018,10:40:00 PM,24.735,22.823,24.773,24.643,23.937,23.752,28.79,29.907,29.922,29.759
6/6/2018,10:56:40 PM,24.679,22.677,24.707,24.598,23.846,23.623,28.793,29.429,29.547,29.245
6/6/2018,11:13:20 PM,24.67,22.55,24.713,24.553,23.802,23.531,28.78,29.385,29.484,29.087
6/6/2018,11:30:00 PM,24.664,22.43,24.717,24.53,23.739,23.463,28.778,29.809,29.903,29.559
6/6/2018,11:46:40 PM,24.63,22.282,24.663,24.528,23.657,23.39,28.778,30.121,30.168,29.949
6/7/2018,12:03:20 AM,24.572,22.148,24.632,24.479,23.575,23.279,28.751,29.568,29.651,29.468
6/7/2018,12:20:00 AM,24.57,22.026,24.586,24.406,23.509,23.174,28.762,29.166,29.243,28.815
6/7/2018,12:36:40 AM,24.544,21.89,24.585,24.413,23.443,23.097,28.764,29.528,29.592,29.223
6/7/2018,12:53:20 AM,24.518,21.74,24.531,24.386,23.364,23.021,28.765,29.53,29.592,29.322
6/7/2018,1:10:00 AM,24.507,21.603,24.522,24.333,23.282,22.915,28.77,29.477,29.52,29.19
6/7/2018,1:26:40 AM,24.456,21.489,24.495,24.295,23.21,22.81,28.78,29.333,29.4,29.117
6/7/2018,1:43:20 AM,24.446,21.36,24.441,24.26,23.145,22.71,28.786,29.358,29.35,29.147
6/7/2018,2:00:00 AM,24.431,21.217,24.431,24.245,23.063,22.648,28.788,29.877,29.945,29.531
6/7/2018,2:16:40 AM,24.42,21.127,24.432,24.221,23.017,22.593,28.798,30.48,30.52,30.167
6/7/2018,2:33:20 AM,24.413,21.027,24.448,24.246,22.964,22.493,28.808,30.606,30.637,30.349
6/7/2018,2:50:00 AM,24.411,20.904,24.419,24.223,22.907,22.454,28.805,30.64,30.646,30.382
6/7/2018,3:06:40 AM,24.401,20.805,24.422,24.204,22.866,22.359,28.802,30.72,30.711,30.468
6/7/2018,3:23:20 AM,24.381,20.685,24.374,24.19,22.801,22.302,28.798,30.746,30.717,30.461
6/7/2018,3:40:00 AM,24.362,20.564,24.346,24.124,22.731,22.2,28.813,30.89,30.876,30.626
6/7/2018,3:56:40 AM,24.339,20.437,24.324,24.122,22.674,22.114,28.817,30.847,30.825,30.56
6/7/2018,4:13:20 AM,24.338,20.32,24.315,24.093,22.589,22.052,28.824,30.807,30.784,30.539
6/7/2018,4:30:00 AM,24.272,20.229,24.284,24.069,22.558,21.958,28.827,31.008,30.997,30.73
6/7/2018,4:46:40 AM,24.269,20.106,24.273,24.012,22.481,21.879,28.83,31.01,31.016,30.74
6/7/2018,5:03:20 AM,24.256,19.987,24.223,24.039,22.421,21.801,28.83,31.249,31.236,30.961
6/7/2018,5:20:00 AM,24.249,19.859,24.225,24.005,22.326,21.703,28.827,31.132,31.123,30.842
6/7/2018,5:36:40 AM,24.205,19.761,24.171,23.936,22.255,21.637,28.83,31.077,31.071,30.801
6/7/2018,5:53:20 AM,24.205,19.627,24.153,23.918,22.211,21.536,28.83,30.995,30.989,30.692
6/7/2018,6:10:00 AM,24.159,19.517,24.111,23.914,22.134,21.485,28.824,30.827,30.811,30.509
6/7/2018,6:26:40 AM,24.14,19.423,24.125,23.859,22.089,21.392,28.832,31.042,31.027,30.735
6/7/2018,6:43:20 AM,24.129,19.288,24.074,23.833,22.005,21.318,28.823,31.076,31.062,30.787
6/7/2018,7:00:00 AM,24.109,19.189,24.07,23.827,21.943,21.224,28.824,30.965,30.952,30.67
6/7/2018,7:16:40 AM,24.097,19.074,24.03,23.781,21.887,21.154,28.832,30.915,30.896,30.613
6/7/2018,7:33:20 AM,24.099,18.955,24.042,23.759,21.836,21.077,28.824,30.988,30.965,30.678
6/7/2018,7:50:00 AM,24.037,18.885,23.996,23.75,21.792,21.025,28.824,30.977,30.947,30.677
6/7/2018,8:06:40 AM,24.01,18.784,23.979,23.717,21.717,20.919,28.819,30.944,30.914,30.657
6/7/2018,8:23:20 AM,24.005,18.653,23.97,23.687,21.658,20.832,28.819,30.929,30.892,30.634
6/7/2018,8:40:00 AM,23.985,18.55,23.94,23.651,21.608,20.789,28.817,31.05,31.022,30.753
6/7/2018,8:56:40 AM,23.963,18.442,23.941,23.623,21.542,20.702,28.817,31.253,31.22,30.974
6/7/2018,9:13:20 AM,23.955,18.348,23.913,23.574,21.467,20.632,28.817,31.266,31.244,30.99
6/7/2018,9:30:00 AM,23.923,18.222,23.876,23.573,21.42,20.544,28.82,31.182,31.127,30.886
6/7/2018,9:46:40 AM,23.91,18.14,23.86,23.536,21.353,20.476,28.822,31.352,31.317,31.081
